ID	Действие	Старый URL	Итоговый URL	Файл в репозитории	Canonical URL	Индексируемость	Статус публикации
54	NEW	/r-builder/ai-r-builder	/r-builder/ai-r-builder	site_mirror/r-builder/ai-r-builder/index.html	https://raskrutov.kz/r-builder/ai-r-builder	index, follow	Не опубликована
55	NEW	/r-builder/vozmozhnosti	/r-builder/vozmozhnosti	site_mirror/r-builder/vozmozhnosti/index.html	https://raskrutov.kz/r-builder/vozmozhnosti	index, follow	Не опубликована
56	NEW	/r-builder/dlya-biznesa	/r-builder/dlya-biznesa	site_mirror/r-builder/dlya-biznesa/index.html	https://raskrutov.kz/r-builder/dlya-biznesa	index, follow	Не опубликована
57	KEEP	/partneram	/partneram	site_mirror/partneram/index.html	https://raskrutov.kz/partneram	index, follow	Опубликована (sitemap)
58	NEW	/partneram/franshiza	/partneram/franshiza	site_mirror/partneram/franshiza/index.html	https://raskrutov.kz/partneram/franshiza	index, follow	Не опубликована
59	NEW	/partneram/pakety-partnerstva	/partneram/pakety-partnerstva	site_mirror/partneram/pakety-partnerstva/index.html	https://raskrutov.kz/partneram/pakety-partnerstva	index, follow	Не опубликована
60	NEW	/partneram/dlya-reklamnyh-agentstv	/partneram/dlya-reklamnyh-agentstv	site_mirror/partneram/dlya-reklamnyh-agentstv/index.html	https://raskrutov.kz/partneram/dlya-reklamnyh-agentstv	index, follow	Не опубликована
61	NEW	/partneram/deystvuyushchie-partnery	/partneram/deystvuyushchie-partnery	site_mirror/partneram/deystvuyushchie-partnery/index.html	https://raskrutov.kz/partneram/deystvuyushchie-partnery	index, follow	Не опубликована
62	KEEP	/keysy	/keysy	site_mirror/keysy/index.html	https://raskrutov.kz/keysy	index, follow	Опубликована (sitemap)
63	KEEP	/keysy/sayty	/keysy/sayty	site_mirror/keysy/sayty/index.html	https://raskrutov.kz/keysy/sayty	index, follow	Опубликована (sitemap)
64	UPDATE	/kejs-proizvodstvennaya-kompaniya-v-astane	/kejs-proizvodstvennaya-kompaniya-v-astane	site_mirror/kejs-proizvodstvennaya-kompaniya-v-astane/index.html	https://raskrutov.kz/kejs-proizvodstvennaya-kompaniya-v-astane	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
65	UPDATE	/kejs-raki	/kejs-raki	site_mirror/kejs-raki/index.html	https://raskrutov.kz/kejs-raki	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
66	UPDATE	/kejs-teplyj-pol	/kejs-teplyj-pol	site_mirror/kejs-teplyj-pol/index.html	https://raskrutov.kz/kejs-teplyj-pol	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
67	UPDATE	/kejs-laminat	/kejs-laminat	site_mirror/kejs-laminat/index.html	https://raskrutov.kz/kejs-laminat	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
68	KEEP	/keysy/prodvizhenie	/keysy/prodvizhenie	site_mirror/keysy/prodvizhenie/index.html	https://raskrutov.kz/keysy/prodvizhenie	index, follow	Опубликована (sitemap)
69	NEW	/keysy/crm	/keysy/crm	site_mirror/keysy/crm/index.html	https://raskrutov.kz/keysy/crm	index, follow	Не опубликована
70	NEW	/keysy/akademiya	/keysy/akademiya	site_mirror/keysy/akademiya/index.html	https://raskrutov.kz/keysy/akademiya	index, follow	Не опубликована
71	NEW	/keysy/partnery	/keysy/partnery	site_mirror/keysy/partnery/index.html	https://raskrutov.kz/keysy/partnery	index, follow	Не опубликована
72	KEEP	/faq	/faq	site_mirror/faq/index.html	https://raskrutov.kz/faq	index, follow	Опубликована (sitemap)
73	KEEP	/o-kompanii	/o-kompanii	site_mirror/o-kompanii/index.html	https://raskrutov.kz/o-kompanii	index, follow	Опубликована (sitemap)
74	UPDATE	/about-us; /o-kompanii/o-nas	/about-us	site_mirror/about-us/index.html	https://raskrutov.kz/about-us	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
75	KEEP	/o-kompanii/komanda	/o-kompanii/komanda	site_mirror/o-kompanii/komanda/index.html	https://raskrutov.kz/o-kompanii/komanda	index, follow	Опубликована (sitemap)
76	NEW	/o-kompanii/blagodarstvennye-pisma	/o-kompanii/blagodarstvennye-pisma	site_mirror/o-kompanii/blagodarstvennye-pisma/index.html	https://raskrutov.kz/o-kompanii/blagodarstvennye-pisma	index, follow	Не опубликована
77	UPDATE	/nashi-klienti; /o-kompanii/klienty	/nashi-klienti	site_mirror/nashi-klienti/index.html	https://raskrutov.kz/nashi-klienti	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
78	NEW	/o-kompanii/vakansii	/o-kompanii/vakansii	site_mirror/o-kompanii/vakansii/index.html	https://raskrutov.kz/o-kompanii/vakansii	index, follow	Не опубликована
79	UPDATE	/otzivi	/otzivi	site_mirror/otzivi/index.html	https://raskrutov.kz/otzivi	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
80	UPDATE	/about-founder	/about-founder	site_mirror/about-founder/index.html	https://raskrutov.kz/about-founder	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
81	NEW	/o-kompanii/blog	/blog	site_mirror/blog/index.html	https://raskrutov.kz/blog	index, follow	Не опубликована
82	UPDATE	/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu	/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu	site_mirror/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu/index.html	https://raskrutov.kz/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
